backbone,method,n_components,seed,accuracy,time
resnet18,Full,512,42,62.88,23.68
resnet18,Full,512,123,62.88,20.89
resnet18,Full,512,456,62.88,20.75
resnet18,LDA,5,42,23.20,3.66
resnet18,LDA,5,123,23.20,3.14
resnet18,LDA,5,456,23.20,2.90
resnet18,LDA,10,42,35.82,3.17
resnet18,LDA,10,123,35.82,3.72
resnet18,LDA,10,456,35.82,3.26
resnet18,LDA,20,42,48.36,3.05
resnet18,LDA,20,123,48.36,3.24
resnet18,LDA,20,456,48.36,3.21
resnet18,LDA,40,42,60.16,3.23
resnet18,LDA,40,123,60.16,3.38
resnet18,LDA,40,456,60.16,3.15
resnet18,LDA,60,42,64.02,3.41
resnet18,LDA,60,123,64.02,3.51
resnet18,LDA,60,456,64.02,3.72
resnet18,LDA,80,42,66.25,3.40
resnet18,LDA,80,123,66.25,3.66
resnet18,LDA,80,456,66.25,3.37
resnet18,LDA,99,42,66.97,4.34
resnet18,LDA,99,123,66.97,3.66
resnet18,LDA,99,456,66.97,3.47
resnet18,PCA,5,42,20.26,1.94
resnet18,PCA,5,123,20.26,1.72
resnet18,PCA,5,456,20.26,1.83
resnet18,PCA,10,42,32.94,1.88
resnet18,PCA,10,123,32.94,1.89
resnet18,PCA,10,456,32.94,1.83
resnet18,PCA,20,42,47.80,1.70
resnet18,PCA,20,123,47.80,1.67
resnet18,PCA,20,456,47.80,1.66
resnet18,PCA,40,42,57.42,2.10
resnet18,PCA,40,123,57.42,2.17
resnet18,PCA,40,456,57.42,2.08
resnet18,PCA,60,42,61.94,2.60
resnet18,PCA,60,123,61.94,2.51
resnet18,PCA,60,456,61.94,2.51
resnet18,PCA,80,42,64.07,2.25
resnet18,PCA,80,123,64.07,2.26
resnet18,PCA,80,456,64.07,2.24
resnet18,PCA,99,42,65.10,2.60
resnet18,PCA,99,123,65.10,2.65
resnet18,PCA,99,456,65.10,2.62
resnet50,Full,2048,42,72.05,45.27
resnet50,Full,2048,123,72.05,44.19
resnet50,Full,2048,456,72.05,41.08
resnet50,LDA,5,42,27.80,14.58
resnet50,LDA,5,123,27.80,11.47
resnet50,LDA,5,456,27.80,11.57
resnet50,LDA,10,42,39.58,11.71
resnet50,LDA,10,123,39.58,11.96
resnet50,LDA,10,456,39.58,11.11
resnet50,LDA,20,42,51.96,11.29
resnet50,LDA,20,123,51.96,11.22
resnet50,LDA,20,456,51.96,11.53
resnet50,LDA,40,42,61.72,12.59
resnet50,LDA,40,123,61.72,12.06
resnet50,LDA,40,456,61.72,11.74
resnet50,LDA,60,42,68.63,12.94
resnet50,LDA,60,123,68.63,12.72
resnet50,LDA,60,456,68.63,13.82
resnet50,LDA,80,42,70.77,11.61
resnet50,LDA,80,123,70.77,11.47
resnet50,LDA,80,456,70.77,11.81
resnet50,LDA,99,42,72.19,12.73
resnet50,LDA,99,123,72.19,13.29
resnet50,LDA,99,456,72.19,12.38
resnet50,PCA,5,42,20.33,3.17
resnet50,PCA,5,123,20.35,3.16
resnet50,PCA,5,456,20.35,3.11
resnet50,PCA,10,42,34.79,3.66
resnet50,PCA,10,123,34.79,4.11
resnet50,PCA,10,456,34.83,3.55
resnet50,PCA,20,42,49.17,4.73
resnet50,PCA,20,123,49.06,6.56
resnet50,PCA,20,456,49.16,6.13
resnet50,PCA,40,42,59.84,4.79
resnet50,PCA,40,123,59.90,4.39
resnet50,PCA,40,456,59.71,4.69
resnet50,PCA,60,42,64.34,5.79
resnet50,PCA,60,123,64.33,4.65
resnet50,PCA,60,456,64.64,4.41
resnet50,PCA,80,42,66.85,4.43
resnet50,PCA,80,123,66.68,5.24
resnet50,PCA,80,456,66.93,4.53
resnet50,PCA,99,42,67.89,5.51
resnet50,PCA,99,123,68.12,5.24
resnet50,PCA,99,456,68.11,5.45
