backbone,dataset,method,mean_accuracy,std_accuracy,mean_time,std_time,mean_dim,mean_time_reduce,mean_time_classify,efficiency,is_pareto
resnet18,cifar100,Full,62.854,0.023,56.44,6.59,512,0.0,56.44,1.114,False
resnet18,cifar100,PCA,65.064,0.005,10.69,0.08,99,0.1,10.59,6.085,True
resnet18,cifar100,LDA,66.97,0.0,10.85,0.11,99,1.73,9.13,6.171,True
resnet18,cifar100,R-LDA,66.678,0.022,12.93,0.42,99,2.3,10.64,5.156,False
resnet18,cifar100,LFDA,65.25,0.0,14.82,0.61,99,5.09,9.74,4.402,False
resnet18,cifar100,RDA,66.746,0.066,24.93,0.96,119,1.83,23.1,2.677,False
resnet18,cifar100,DSB,67.27,0.0,25.13,0.63,99,15.15,9.99,2.677,True
resnet18,tiny_imagenet,Full,59.844,0.036,121.58,7.27,512,0.0,121.58,0.492,False
resnet18,tiny_imagenet,PCA,64.46,0.021,30.23,5.26,199,0.18,30.06,2.132,True
resnet18,tiny_imagenet,LDA,64.418,0.058,41.2,3.25,199,3.36,37.84,1.564,False
resnet18,tiny_imagenet,R-LDA,64.74,0.045,49.48,2.71,199,4.33,45.15,1.308,True
resnet18,tiny_imagenet,LFDA,64.146,0.034,48.69,4.11,199,9.68,39.01,1.317,False
resnet18,tiny_imagenet,RDA,64.516,0.034,44.36,2.95,219,3.65,40.72,1.454,True
resnet18,tiny_imagenet,DSB,64.7,0.0,87.52,1.25,199,56.19,31.34,0.739,False
resnet50,cifar100,Full,71.98,0.0,47.53,0.4,2048,0.0,47.53,1.514,False
resnet50,cifar100,PCA,69.182,0.121,15.03,0.96,99,3.22,11.81,4.602,True
resnet50,cifar100,LDA,72.24,0.046,22.56,0.58,99,8.95,13.61,3.202,True
resnet50,cifar100,R-LDA,71.894,0.059,43.16,1.17,99,27.36,15.8,1.666,False
resnet50,cifar100,LFDA,68.2,0.09,22.05,1.08,99,8.24,13.82,3.093,False
resnet50,cifar100,RDA,72.666,0.048,44.01,3.37,129,11.82,32.19,1.651,True
resnet50,cifar100,DSB,72.624,0.063,57.82,1.85,99,45.58,12.24,1.256,False
resnet50,tiny_imagenet,Full,74.29,0.0,84.16,0.24,2048,0.0,84.16,0.883,False
resnet50,tiny_imagenet,PCA,73.352,0.08,52.11,5.7,199,5.96,46.15,1.408,True
resnet50,tiny_imagenet,LDA,75.012,0.015,79.91,3.46,199,17.53,62.38,0.939,True
resnet50,tiny_imagenet,R-LDA,75.366,0.087,117.93,11.16,199,54.72,63.21,0.639,True
resnet50,tiny_imagenet,LFDA,73.536,0.123,72.84,5.86,199,15.03,57.81,1.009,True
resnet50,tiny_imagenet,RDA,75.044,0.063,95.24,2.59,229,21.45,73.8,0.788,True
resnet50,tiny_imagenet,DSB,75.238,0.061,217.57,15.21,199,158.24,59.33,0.346,False
mobilenetv3,cifar100,Full,65.582,0.074,68.65,3.38,576,0.0,68.65,0.955,False
mobilenetv3,cifar100,PCA,64.61,0.012,11.09,0.84,99,0.11,10.98,5.827,True
mobilenetv3,cifar100,LDA,68.474,0.029,13.11,0.37,99,1.78,11.33,5.223,True
mobilenetv3,cifar100,R-LDA,67.856,0.036,14.79,1.26,99,2.65,12.15,4.587,False
mobilenetv3,cifar100,LFDA,64.898,0.033,19.0,2.45,99,5.0,14.0,3.416,False
mobilenetv3,cifar100,RDA,68.722,0.041,28.77,4.7,119,2.06,26.72,2.389,True
mobilenetv3,cifar100,DSB,68.884,0.035,33.06,0.85,99,22.95,10.11,2.084,True
mobilenetv3,tiny_imagenet,Full,59.24,0.057,149.64,11.6,576,0.0,149.64,0.396,False
mobilenetv3,tiny_imagenet,PCA,61.952,0.038,35.02,2.69,199,0.2,34.81,1.769,True
mobilenetv3,tiny_imagenet,LDA,63.348,0.008,45.7,2.61,199,3.64,42.05,1.386,True
mobilenetv3,tiny_imagenet,R-LDA,62.936,0.061,48.38,3.79,199,4.96,43.43,1.301,False
mobilenetv3,tiny_imagenet,LFDA,62.572,0.004,49.83,0.34,199,9.69,40.14,1.256,False
mobilenetv3,tiny_imagenet,RDA,63.462,0.02,48.84,2.51,219,4.07,44.76,1.299,True
mobilenetv3,tiny_imagenet,DSB,63.73,0.0,86.51,0.96,199,56.88,29.63,0.737,True
efficientnet,cifar100,Full,71.41,0.041,48.83,2.64,1280,0.0,48.83,1.462,False
efficientnet,cifar100,PCA,69.77,0.131,14.2,1.03,99,2.53,11.67,4.913,True
efficientnet,cifar100,LDA,72.302,0.036,16.39,1.42,99,4.78,11.61,4.412,True
efficientnet,cifar100,R-LDA,71.946,0.03,24.07,0.96,99,10.56,13.51,2.989,False
efficientnet,cifar100,LFDA,69.332,0.109,19.53,1.61,99,7.68,11.85,3.549,False
efficientnet,cifar100,RDA,72.354,0.029,35.22,2.89,124,6.77,28.45,2.054,True
efficientnet,cifar100,DSB,72.55,0.0,41.58,0.43,99,29.39,12.19,1.745,True
efficientnet,tiny_imagenet,Full,71.79,0.0,68.03,0.56,1280,0.0,68.03,1.055,False
efficientnet,tiny_imagenet,PCA,71.986,0.173,45.66,4.78,199,3.5,42.15,1.577,True
efficientnet,tiny_imagenet,LDA,72.34,0.058,53.23,6.12,199,9.58,43.65,1.359,True
efficientnet,tiny_imagenet,R-LDA,72.576,0.065,58.19,4.07,199,21.57,36.62,1.247,True
efficientnet,tiny_imagenet,LFDA,71.92,0.043,63.97,6.68,199,14.29,49.67,1.124,False
efficientnet,tiny_imagenet,RDA,71.87,0.064,70.48,5.68,224,12.03,58.45,1.02,False
efficientnet,tiny_imagenet,DSB,72.144,0.062,147.0,5.18,199,102.15,44.85,0.491,False
