backbone,feature_dim,method,components,accuracy,standardization_sec,reduction_fit_sec,transform_train_sec,transform_test_sec,classifier_train_sec,classifier_inference_sec,total_pipeline_sec
ResNet-18,512,None (Full),512,0.5822,0.307736873626709,0.0,0.0,0.0,80.72976088523865,0.022031307220458984,81.05997586250305
ResNet-18,512,LDA,10,0.2795,0.27016711235046387,1.8655908107757568,0.07764816284179688,0.008033990859985352,14.982128143310547,0.005387067794799805,17.20900297164917
ResNet-18,512,PCA,10,0.2717,0.21836209297180176,0.07753705978393555,0.023179054260253906,0.002429962158203125,22.66610312461853,0.005445957183837891,22.993100881576538
ResNet-18,512,LDA,20,0.419,0.23000121116638184,1.884458065032959,0.07619118690490723,0.009713172912597656,15.9078688621521,0.005805015563964844,18.114094018936157
ResNet-18,512,PCA,20,0.4217,0.23626399040222168,0.05886697769165039,0.02300715446472168,0.002524852752685547,24.506262063980103,0.005335092544555664,24.8322970867157
ResNet-18,512,LDA,40,0.5274,0.2213280200958252,1.9098761081695557,0.09020090103149414,0.010610818862915039,16.695170879364014,0.008141756057739258,18.935391902923584
ResNet-18,512,PCA,40,0.5384,0.2553279399871826,0.06583905220031738,0.025634765625,0.002875804901123047,28.55522608757019,0.007063865661621094,28.912033081054688
ResNet-18,512,LDA,80,0.6029,0.26549506187438965,1.9701159000396729,0.10161304473876953,0.010175943374633789,19.019222021102905,0.008975744247436523,21.375667333602905
ResNet-18,512,PCA,80,0.6049,0.25906801223754883,0.06506013870239258,0.028923988342285156,0.0037920475006103516,28.976862907409668,0.007929086685180664,29.341701984405518
ResNet-18,512,LDA,99,0.6177,0.2627441883087158,1.8508801460266113,0.0788431167602539,0.009145736694335938,16.237154245376587,0.008629083633422852,18.447455167770386
ResNet-18,512,PCA,99,0.6137,0.25911712646484375,0.06609773635864258,0.03257393836975098,0.00380706787109375,30.943310022354126,0.008537054061889648,31.31350612640381
ResNet-18,512,LDA,150,0.625,0.2727689743041992,2.0103769302368164,0.09177517890930176,0.010001897811889648,22.003482818603516,0.012069940567016602,24.400561094284058
ResNet-18,512,PCA,150,0.6257,0.2932281494140625,0.08884668350219727,0.040496826171875,0.004755258560180664,41.18078279495239,0.009676933288574219,41.61784291267395
ResNet-18,512,LDA,199,0.6269,0.2619919776916504,1.8676090240478516,0.07763791084289551,0.009092092514038086,19.361849784851074,0.010583162307739258,21.588823080062866
ResNet-18,512,PCA,199,0.6281,0.25939011573791504,0.0664210319519043,0.04514479637145996,0.005279064178466797,41.05305600166321,0.010569095611572266,41.43993902206421
ResNet-50,2048,None (Full),2048,0.7154,2.0190250873565674,0.0,0.0,0.0,130.02553796768188,0.2974252700805664,132.3432800769806
ResNet-50,2048,LDA,10,0.3078,2.1383659839630127,17.095235109329224,2.5909159183502197,0.2521250247955322,40.37239909172058,0.007508039474487305,62.457125186920166
ResNet-50,2048,PCA,10,0.2977,3.170285940170288,1.8808870315551758,0.2316749095916748,0.024344205856323242,59.75108003616333,0.008168935775756836,65.06711387634277
ResNet-50,2048,LDA,20,0.4033,1.818934679031372,15.650988817214966,2.3200619220733643,0.2620658874511719,39.07362699508667,0.00639796257019043,59.132142782211304
ResNet-50,2048,PCA,20,0.4641,2.111581802368164,1.297879934310913,0.0958859920501709,0.009343862533569336,61.99795365333557,0.0059168338775634766,65.51863193511963
ResNet-50,2048,LDA,40,0.5386,1.7034451961517334,15.835890054702759,2.941526174545288,0.25948190689086914,38.92455506324768,0.006940126419067383,59.672094106674194
ResNet-50,2048,PCA,40,0.5874,2.5020549297332764,2.1387879848480225,0.25754714012145996,0.026971817016601562,60.910868883132935,0.012327194213867188,65.84965109825134
ResNet-50,2048,LDA,80,0.6438,1.8240468502044678,16.199636936187744,2.4963388442993164,0.24570512771606445,46.55265784263611,0.009427070617675781,67.32823896408081
ResNet-50,2048,PCA,80,0.6659,3.4386789798736572,2.4735066890716553,0.2535889148712158,0.02661609649658203,71.64283585548401,0.00946497917175293,77.84496521949768
ResNet-50,2048,LDA,99,0.6668,1.7640190124511719,15.493135929107666,1.3538920879364014,0.24930500984191895,46.77311611175537,0.008294820785522461,65.64219498634338
ResNet-50,2048,PCA,99,0.6817,1.5130650997161865,2.3147759437561035,0.1287369728088379,0.01769280433654785,79.84204411506653,0.02544403076171875,83.84253597259521
ResNet-50,2048,LDA,150,0.7128,2.2313830852508545,19.090341091156006,1.5592479705810547,0.26554083824157715,57.999894857406616,0.011813879013061523,81.15896797180176
ResNet-50,2048,PCA,150,0.701,2.5205347537994385,3.485368013381958,0.2797231674194336,0.02940988540649414,94.3453278541565,0.012007951736450195,100.67309284210205
ResNet-50,2048,LDA,199,0.7183,1.96878981590271,15.919818878173828,1.4307012557983398,0.1760578155517578,61.10709095001221,0.011198997497558594,80.61374998092651
ResNet-50,2048,PCA,199,0.7009,3.1099250316619873,4.716050148010254,0.29816699028015137,0.029963970184326172,162.17915797233582,0.014275074005126953,170.34825801849365
MobileNetV3-Small,576,None (Full),576,0.5669,0.26967811584472656,0.0,0.0,0.0,85.71513795852661,0.022474050521850586,86.00735211372375
MobileNetV3-Small,576,LDA,10,0.2634,0.3038768768310547,2.202954053878784,0.09354209899902344,0.006847858428955078,22.680650234222412,0.010289907455444336,25.29826283454895
MobileNetV3-Small,576,PCA,10,0.2424,0.40258312225341797,0.11498904228210449,0.02955484390258789,0.0049588680267333984,30.73712396621704,0.008002042770385742,31.297940015792847
MobileNetV3-Small,576,LDA,20,0.3885,0.9235799312591553,3.1605401039123535,0.13976001739501953,0.013463020324707031,21.06335210800171,0.009453058242797852,25.310236930847168
MobileNetV3-Small,576,PCA,20,0.3897,0.364091157913208,0.1123807430267334,0.027029991149902344,0.003426074981689453,36.69722604751587,0.00982809066772461,37.21466112136841
MobileNetV3-Small,576,LDA,40,0.5012,0.3644979000091553,2.542942762374878,0.12777972221374512,0.012346744537353516,22.145989179611206,0.009912967681884766,25.20355200767517
MobileNetV3-Small,576,PCA,40,0.4881,0.42328596115112305,0.12431192398071289,0.03180503845214844,0.004062175750732422,41.81391191482544,0.008322000503540039,42.405778884887695
MobileNetV3-Small,576,LDA,80,0.5682,0.3824729919433594,2.522387981414795,0.13509106636047363,0.012883901596069336,21.252387285232544,0.011513948440551758,24.317341804504395
MobileNetV3-Small,576,PCA,80,0.5531,0.36408281326293945,0.09536504745483398,0.03676295280456543,0.005436897277832031,52.888816118240356,0.00904083251953125,53.39957809448242
MobileNetV3-Small,576,LDA,99,0.5882,0.30187177658081055,2.024988889694214,0.08722305297851562,0.009534120559692383,23.09806513786316,0.008630752563476562,25.53036093711853
MobileNetV3-Small,576,PCA,99,0.5691,0.27420496940612793,0.06833720207214355,0.03400611877441406,0.003498077392578125,53.076582193374634,0.00792384147644043,53.46459603309631
MobileNetV3-Small,576,LDA,150,0.6038,0.2711160182952881,2.0814270973205566,0.0942690372467041,0.009964942932128906,22.03732991218567,0.010738134384155273,24.50491499900818
MobileNetV3-Small,576,PCA,150,0.5877,0.3248629570007324,0.07295608520507812,0.03799295425415039,0.0051479339599609375,55.504223108291626,0.011628150939941406,55.95753192901611
MobileNetV3-Small,576,LDA,199,0.6097,0.3460819721221924,2.2338969707489014,0.09699320793151855,0.010443925857543945,24.4121310710907,0.010840892791748047,27.11045503616333
MobileNetV3-Small,576,PCA,199,0.5948,0.28830695152282715,0.09336018562316895,0.04596519470214844,0.005544900894165039,68.96321105957031,0.010590076446533203,69.40704321861267
EfficientNet-B0,1280,None (Full),1280,0.7003,1.6097936630249023,0.0,0.0,0.0,65.08889889717102,0.04951214790344238,66.74866461753845
EfficientNet-B0,1280,LDA,10,0.3091,0.6809189319610596,7.0026679039001465,0.2427668571472168,0.023634910583496094,32.26470398902893,0.007091999053955078,40.221867084503174
EfficientNet-B0,1280,PCA,10,0.3279,0.7088251113891602,0.7797861099243164,0.06096196174621582,0.00869297981262207,28.153854846954346,0.007778167724609375,29.72061324119568
EfficientNet-B0,1280,LDA,20,0.4727,1.0456230640411377,7.290549993515015,0.24374985694885254,0.0240938663482666,29.025125980377197,0.009095191955566406,37.639923334121704
EfficientNet-B0,1280,PCA,20,0.5069,2.075441837310791,0.6841750144958496,0.0620121955871582,0.008916854858398438,35.329930782318115,0.006690025329589844,38.167240858078
EfficientNet-B0,1280,LDA,40,0.5896,1.0384469032287598,7.1625730991363525,0.23560500144958496,0.02380990982055664,31.63379979133606,0.009001016616821289,40.1033079624176
EfficientNet-B0,1280,PCA,40,0.6249,0.7051336765289307,0.8897919654846191,0.0615239143371582,0.00937795639038086,40.100290060043335,0.0073888301849365234,41.773581743240356
EfficientNet-B0,1280,LDA,80,0.6666,1.0307631492614746,7.19120192527771,0.2380988597869873,0.02315974235534668,31.73603391647339,0.007953166961669922,40.22728705406189
EfficientNet-B0,1280,PCA,80,0.68,0.6741530895233154,1.1761102676391602,0.0604100227355957,0.006428956985473633,49.29188895225525,0.00944209098815918,51.21851992607117
EfficientNet-B0,1280,LDA,99,0.6813,0.8914659023284912,7.107669115066528,0.23865914344787598,0.023356914520263672,30.69762682914734,0.008550167083740234,38.9675509929657
EfficientNet-B0,1280,PCA,99,0.692,0.6974499225616455,1.3970320224761963,0.08773612976074219,0.006909847259521484,49.4780490398407,0.00830078125,51.67554688453674
EfficientNet-B0,1280,LDA,150,0.6998,0.9405548572540283,6.978688955307007,0.23048186302185059,0.02257990837097168,37.98242998123169,0.008925914764404297,46.16373682022095
EfficientNet-B0,1280,PCA,150,0.7031,0.6830000877380371,1.2152678966522217,0.08179283142089844,0.007693052291870117,62.477941274642944,0.009998083114624023,64.47576999664307
EfficientNet-B0,1280,LDA,199,0.7041,0.6926920413970947,7.148260831832886,0.24896001815795898,0.023182153701782227,39.893831968307495,0.011001825332641602,48.0182089805603
EfficientNet-B0,1280,PCA,199,0.7002,0.6952869892120361,1.706622838973999,0.12688899040222168,0.016285181045532227,83.73088502883911,0.013192892074584961,86.29010200500488
